#dates               Model               
2015-01-01T00:00:00 -1.03298827278019942355e+02
2015-01-02T00:00:00 -1.01829160652760890571e+02
2015-01-03T00:00:00 -1.01181755233593008825e+02
2015-01-04T00:00:00 -1.00217769149901641867e+02
2015-01-05T00:00:00 -1.02398279473675714257e+02
2015-01-06T00:00:00 -1.02495723074544585529e+02
2015-01-07T00:00:00 -1.01814824042660518444e+02
2015-01-08T00:00:00 -1.04040914439269016611e+02
2015-01-09T00:00:00 -1.00098271666648884093e+02
2015-01-10T00:00:00 -1.02014187819202646779e+02
2015-01-11T00:00:00 -1.00907562788030347178e+02
2015-01-12T00:00:00 -1.00722207942001645620e+02
2015-01-13T00:00:00 -1.01298946365596179930e+02
2015-01-14T00:00:00 -1.00984005918324683648e+02
2015-01-15T00:00:00 -9.88249782465305202095e+01
2015-01-16T00:00:00 -1.00010492568575756422e+02
2015-01-17T00:00:00 -1.01005716049884540553e+02
2015-01-18T00:00:00 -9.86147732048745808697e+01
2015-01-19T00:00:00 -9.89938770643710483910e+01
2015-01-20T00:00:00 -1.00765603995928231029e+02
2015-01-21T00:00:00 -9.83706311271145068531e+01
2015-01-22T00:00:00 -9.90421592692211021358e+01
2015-01-23T00:00:00 -9.73602902413209960741e+01
2015-01-24T00:00:00 -9.86663509234168429884e+01
2015-01-25T00:00:00 -9.85786804776981711029e+01
2015-01-26T00:00:00 -9.66655817240463193230e+01
2015-01-27T00:00:00 -9.82544596578613891324e+01
2015-01-28T00:00:00 -9.76243144884445257503e+01
2015-01-29T00:00:00 -9.66034379732470682711e+01
2015-01-30T00:00:00 -9.74351733822397676477e+01
2015-01-31T00:00:00 -9.43904037934006652222e+01
2015-02-01T00:00:00 -9.54183359616600057507e+01
2015-02-02T00:00:00 -9.41796418803371011563e+01
2015-02-03T00:00:00 -9.49368615109907665328e+01
2015-02-04T00:00:00 -9.26880218887735480848e+01
2015-02-05T00:00:00 -9.16298107284469978140e+01
2015-02-06T00:00:00 -9.18617484152581909029e+01
2015-02-07T00:00:00 -8.98185892212640197840e+01
2015-02-08T00:00:00 -9.35221152553157679677e+01
2015-02-09T00:00:00 -9.19224475973694978848e+01
2015-02-10T00:00:00 -9.00979616789626192030e+01
2015-02-11T00:00:00 -9.13823839636989703195e+01
2015-02-12T00:00:00 -9.00387387519565720595e+01
2015-02-13T00:00:00 -8.85120504023893346357e+01
2015-02-14T00:00:00 -8.83351355003229485874e+01
2015-02-15T00:00:00 -8.76951108591565002826e+01
2015-02-16T00:00:00 -8.65427448016653073637e+01
2015-02-17T00:00:00 -8.57598720379491084032e+01
2015-02-18T00:00:00 -8.65690658973804545440e+01
2015-02-19T00:00:00 -8.29445979468012950520e+01
2015-02-20T00:00:00 -8.53442366554220086527e+01
2015-02-21T00:00:00 -8.50807204031949737555e+01
2015-02-22T00:00:00 -8.34665423833939712495e+01
2015-02-23T00:00:00 -8.17000587516048994985e+01
2015-02-24T00:00:00 -8.11189960874697391091e+01
2015-02-25T00:00:00 -8.00540615626975124997e+01
2015-02-26T00:00:00 -8.21601213524245537201e+01
2015-02-27T00:00:00 -8.00298081524331763603e+01
2015-02-28T00:00:00 -7.78712696299782578535e+01
2015-03-01T00:00:00 -7.94064143865678886414e+01
2015-03-02T00:00:00 -7.89993144722568274574e+01
2015-03-03T00:00:00 -7.75039013532605451928e+01
2015-03-04T00:00:00 -7.69835246081968449516e+01
2015-03-05T00:00:00 -7.58699574348585770167e+01
2015-03-06T00:00:00 -7.50642123341331171105e+01
2015-03-07T00:00:00 -7.57245587557260932954e+01
2015-03-08T00:00:00 -7.46721519125058392774e+01
2015-03-09T00:00:00 -7.21099640283043896716e+01
2015-03-10T00:00:00 -7.27612619557397408698e+01
2015-03-11T00:00:00 -7.24801954707158131441e+01
2015-03-12T00:00:00 -7.20973791187238930434e+01
2015-03-13T00:00:00 -7.10254210021267198272e+01
2015-03-14T00:00:00 -7.16961693191655626833e+01
2015-03-15T00:00:00 -7.10845642241289397134e+01
2015-03-16T00:00:00 -7.02897312447296371829e+01
2015-03-17T00:00:00 -6.99467656625028268991e+01
2015-03-18T00:00:00 -6.79866896413969925561e+01
2015-03-19T00:00:00 -6.79626475794651128126e+01
2015-03-20T00:00:00 -6.63916915021352878057e+01
2015-03-21T00:00:00 -6.52977709655657889698e+01
2015-03-22T00:00:00 -6.62815606166702480095e+01
2015-03-23T00:00:00 -6.63690903048614586623e+01
2015-03-24T00:00:00 -6.57771742966252475071e+01
2015-03-25T00:00:00 -6.47014374300107277804e+01
2015-03-26T00:00:00 -6.50344124638022407225e+01
2015-03-27T00:00:00 -6.56768582850632611780e+01
2015-03-28T00:00:00 -6.50489193749109375631e+01
2015-03-29T00:00:00 -6.45197678153674445412e+01
2015-03-30T00:00:00 -6.18819124178689392579e+01
2015-03-31T00:00:00 -6.16052705020859150409e+01
2015-04-01T00:00:00 -6.26255145589302202325e+01
2015-04-02T00:00:00 -6.24833997466670325593e+01
2015-04-03T00:00:00 -6.14521086226888684223e+01
2015-04-04T00:00:00 -6.00606756762993896359e+01
2015-04-05T00:00:00 -6.10671391344540026580e+01
2015-04-06T00:00:00 -6.11669770162321526641e+01
2015-04-07T00:00:00 -6.01227477788621200716e+01
2015-04-08T00:00:00 -6.10568987458325693751e+01
2015-04-09T00:00:00 -5.96806158941902111792e+01
2015-04-10T00:00:00 -6.03109517243833295197e+01
2015-04-11T00:00:00 -5.73450424796917914705e+01
2015-04-12T00:00:00 -5.90132546958980270801e+01
2015-04-13T00:00:00 -5.81502287514141400493e+01
2015-04-14T00:00:00 -5.96816281440757805399e+01
2015-04-15T00:00:00 -5.83056017883103478994e+01
2015-04-16T00:00:00 -5.77568439240082085462e+01
2015-04-17T00:00:00 -5.62515271287116220833e+01
2015-04-18T00:00:00 -5.53654822841124953925e+01
2015-04-19T00:00:00 -5.66727234470057439353e+01
2015-04-20T00:00:00 -5.67091408430447003752e+01
2015-04-21T00:00:00 -5.45401172960420836944e+01
2015-04-22T00:00:00 -5.62004442541828836966e+01
2015-04-23T00:00:00 -5.57453380886498806035e+01
2015-04-24T00:00:00 -5.54523676103497464851e+01
2015-04-25T00:00:00 -5.66314771421387277428e+01
2015-04-26T00:00:00 -5.52539729708358962057e+01
2015-04-27T00:00:00 -5.53895876125379587052e+01
2015-04-28T00:00:00 -5.58018875486300061084e+01
2015-04-29T00:00:00 -5.57195598050902489717e+01
2015-04-30T00:00:00 -5.72332408529478868786e+01
2015-05-01T00:00:00 -5.48440106747363742556e+01
2015-05-02T00:00:00 -5.60122441346102633020e+01
2015-05-03T00:00:00 -5.52811072765499389448e+01
2015-05-04T00:00:00 -5.56123153868132291677e+01
2015-05-05T00:00:00 -5.57627393072207340197e+01
2015-05-06T00:00:00 -5.77491055143573746022e+01
2015-05-07T00:00:00 -5.67667362850738186353e+01
2015-05-08T00:00:00 -5.52522908530701357677e+01
2015-05-09T00:00:00 -5.66449105786255557859e+01
2015-05-10T00:00:00 -5.46221448664489415137e+01
2015-05-11T00:00:00 -5.56863998162772091405e+01
2015-05-12T00:00:00 -5.62941580856216745588e+01
2015-05-13T00:00:00 -5.70797627816379815613e+01
2015-05-14T00:00:00 -5.82087306240813830982e+01
2015-05-15T00:00:00 -5.47329654902738198530e+01
2015-05-16T00:00:00 -5.59699603109046464056e+01
